,precision,recall,f1-score,support
10_Waterfall,1,1,1,20
11_Snow,1,0.7,0.82,20
12_Landscape,0.83,0.75,0.79,20
13_Underwater,0.87,1,0.93,20
14_Architecture,0.91,1,0.95,20
15_Sunset_Sunrise,1,0.95,0.97,20
16_Blue_Sky,0.92,0.55,0.69,20
17_Cloudy_Sky,0.64,0.7,0.67,20
18_Greenery,0.86,0.95,0.9,20
19_Autumn_leaves,0.9,0.9,0.9,20
1_Portrait,1,0.55,0.71,20
20_Flower,0.9,0.95,0.93,20
21_Night_shot,0.76,0.95,0.84,20
22_Stage_concert,1,0.75,0.86,20
23_Fireworks,0.87,1,0.93,20
24_Candle_light,0.91,1,0.95,20
25_Neon_lights,0.95,1,0.98,20
26_Indoor,0.95,1,0.98,20
27_Backlight,0.88,0.75,0.81,20
28_Text_Documents,1,1,1,20
29_QR_images,0.9,0.9,0.9,20
2_Group_portrait,0.91,1,0.95,20
30_Computer_Screens,0.95,0.95,0.95,20
3_Kids,0.71,1,0.83,20
4_Dog,1,1,1,20
5_Cat,1,1,1,20
6_Macro,0.94,0.8,0.86,20
7_Food,0.95,1,0.98,20
8_Beach,0.95,1,0.98,20
9_Mountain,0.87,1,0.93,20
accuracy,,,0.9,
macro avg,0.91,0.9,0.9,600
weighted avg,0.91,0.9,0.9,600
